"nLayers","nNodes","MSE"
13,9,92.4088659295661
13,10,82.7794937290469
13,11,76.5438252811611
13,12,112.704947493676
13,13,81.2240709073913
13,14,97.9725550084487
13,15,92.3482273856432
13,16,91.3067439268472
13,17,80.4469853439417
13,18,80.6031693533513
13,19,76.7203265067581
13,20,86.8696708298148
13,21,80.6364760819785
13,22,88.832806214851
13,23,102.275400434402
13,24,93.8939644282753
13,25,81.5443032187057
13,26,89.2728580129318
13,27,79.1694554520163
13,28,89.3213629792088
13,29,82.2351228847951
13,30,80.0101106419909
13,31,75.7107018431076
13,32,89.9137339932106
13,33,79.9442599119746
13,34,115.426707715271
13,35,85.0323862056109
13,36,97.69717606171
13,37,76.8017054041291
13,38,79.1734735874678
13,39,77.2297270310935
13,40,78.98154044668
13,41,108.251850843822
13,42,96.3368677074056
13,43,86.2451367505002
13,44,106.997730415741
13,45,95.3966667384184
13,46,78.7455323429058
13,47,77.3782121226737
13,48,106.868150722277
13,49,81.6819057411592
13,50,85.3035811264532
13,51,78.1941400018647
13,52,77.3568031576262
13,53,98.8333601646308
13,54,87.3273367258433
13,55,101.689232344703
13,56,78.049182560827
13,57,89.7533757181579
13,58,78.0378257156114
13,59,75.9732234673431
13,60,74.6501586303568
14,1,74.6501586303568
14,2,74.6501586303568
14,3,74.6501586303568
14,4,131.380593729116
14,5,131.380593729116
14,6,82.4191431409577
14,7,108.052788823688
14,8,86.1950162286841
14,9,84.4448457092877
14,10,80.3769536194763
14,11,84.1387489520651
14,12,89.4171258175987
14,13,84.9739768137992
14,14,86.4080760443102
14,15,101.996842497392
14,16,99.2341612467203
14,17,89.4811417879871
14,18,90.1422105767888
14,19,104.221510499562
14,20,94.5770975418806
14,21,75.7673463934706
14,22,80.5114660577624
14,23,77.8585684445818
14,24,86.3451328738217
14,25,98.1282097861349
14,26,87.4090998166801
14,27,105.539708724346
14,28,78.1682292538726
14,29,91.6684401896092
14,30,92.1276502891395
14,31,117.667963405507
14,32,111.399608430084
